id,preview_url,genre,danceability
3Jl5GohfNwozDmpzmQBLDI,https://p.scdn.co/mp3-preview/da78379c54a945658a71d3e62ccebd42e8074b99?cid=f49b8fe4af844617963433907d2571bc,metal,0.329
5jkxC8SIZJ4qqusxRPVS5s,https://p.scdn.co/mp3-preview/9969b6ea0eb3689d4eeacdc1f2b75b84bada4fc4?cid=f49b8fe4af844617963433907d2571bc,reggae,0.795
2GgxYlSLifYY64m0wM05un,https://p.scdn.co/mp3-preview/7115de236c7044b16c25d418fc6173349f88cff2?cid=f49b8fe4af844617963433907d2571bc,rock,0.697
6wqJeItl3Vc3az4ZicSQAB,https://p.scdn.co/mp3-preview/456bed7cde911014f31c26a07b9235112d20469a?cid=f49b8fe4af844617963433907d2571bc,metal,0.291
3zfPEepH4NjKnHGO9i40cb,https://p.scdn.co/mp3-preview/2ea9e9706493c949e87e6f9d605a948e82e20124?cid=f49b8fe4af844617963433907d2571bc,metal,0.505
1s4ik30NKIFZItISE9Gn6g,https://p.scdn.co/mp3-preview/651aa7a88bb900fe455047975d11eea73726ce47?cid=f49b8fe4af844617963433907d2571bc,rock,0.511
58UKC45GPNTflCN6nwCUeF,https://p.scdn.co/mp3-preview/c69e547d9f87c936d8f1cbaca921e0593db43572?cid=f49b8fe4af844617963433907d2571bc,country,0.647
32cEfV473exUz1jtR5xDnx,https://p.scdn.co/mp3-preview/243c50f9be870bd1f256d15fa0e3ac1670b124ec?cid=f49b8fe4af844617963433907d2571bc,rock,0.436
2r6Ve8kNEzqg3u45UL0muX,https://p.scdn.co/mp3-preview/83e6f177e43f2c759b446ac217c175403b4db5d3?cid=f49b8fe4af844617963433907d2571bc,blues,0.56
6gfUOprNMeD8amncMOSFl0,https://p.scdn.co/mp3-preview/c0ffc5936d36b14627425757b2f1a6042a793060?cid=f49b8fe4af844617963433907d2571bc,metal,0.431
0sgx4UjoIrLB8rFURf3tIr,https://p.scdn.co/mp3-preview/858c372f580e13198244f7ca8efc02d86049253c?cid=f49b8fe4af844617963433907d2571bc,reggae,0.881
2FtX5tOFUVOyjcGQiuGR8f,https://p.scdn.co/mp3-preview/60a60858828b4f564f6555099930fe998b6ee5f6?cid=f49b8fe4af844617963433907d2571bc,blues,0.353
2TXtN9MoV308Y0z1HvyTfV,https://p.scdn.co/mp3-preview/792310fb793bf0821bd23c10614b918872c961e4?cid=f49b8fe4af844617963433907d2571bc,country,0.542
2iQoaliksvoEBhldqjYPgL,https://p.scdn.co/mp3-preview/65ac5e6ddf2cc89b9bac7918d5ef01b5d0b922c1?cid=f49b8fe4af844617963433907d2571bc,metal,0.497
2FHnN5ELL83TGbtXMDzoiJ,https://p.scdn.co/mp3-preview/2dd3c4abb3bce4ff598a7aaefc268bd2dc792541?cid=f49b8fe4af844617963433907d2571bc,disco,0.779
3P5RPybCLmhgJO8PRR9C60,https://p.scdn.co/mp3-preview/d9985cecf1968c2662f4f1c312bbc8ebcddf5ae3?cid=f49b8fe4af844617963433907d2571bc,reggae,0.883
2TMF4ZxPrOncQiJ9KVXD3f,https://p.scdn.co/mp3-preview/abddc88f589b7b87260556b876b202b675251956?cid=f49b8fe4af844617963433907d2571bc,pop,0.8
4abVwdCy5QUcyI3KS2lMJK,https://p.scdn.co/mp3-preview/174ef23f10e223ee710fa339039b9ac49e7c512a?cid=f49b8fe4af844617963433907d2571bc,reggae,0.586
24AIahNHzBxm9S12peXbnG,https://p.scdn.co/mp3-preview/7bdf98a79d02bec76907c129352a49557d63d1ed?cid=f49b8fe4af844617963433907d2571bc,jazz,0.281
0L7zm6afBEtrNKo6C6Gj08,https://p.scdn.co/mp3-preview/76077b7e2bce60eeb7eaffd6bcf96186b4557d33?cid=f49b8fe4af844617963433907d2571bc,metal,0.435
2DyDyOW1hRYFFaMhBCAHJ9,https://p.scdn.co/mp3-preview/ebf0dd92a1145b083073d0b49f9dfd7c526f8af1?cid=f49b8fe4af844617963433907d2571bc,metal,0.533
4aD3d9kzxY8MXAssMQ3c6v,https://p.scdn.co/mp3-preview/599314cb00656c61b4b512ce528f91896d4a1ec7?cid=f49b8fe4af844617963433907d2571bc,blues,0.495
